iter	Passed	Remaining
692	4430	1962
693	4436	1956
694	4441	1949
695	4446	1942
696	4451	1935
697	4457	1928
698	4462	1921
699	4467	1914
700	4473	1908
701	4480	1901
702	4486	1895
703	4492	1888
704	4499	1882
705	4506	1876
706	4512	1870
707	4519	1863
708	4525	1857
709	4530	1850
710	4536	1844
711	4543	1837
712	4549	1831
713	4556	1825
714	4562	1818
715	4569	1812
716	4576	1806
717	4583	1800
718	4589	1793
719	4596	1787
720	4602	1780
721	4608	1774
722	4615	1768
723	4621	1761
724	4627	1755
725	4632	1748
726	4638	1741
727	4643	1735
728	4649	1728
729	4654	1721
730	4660	1715
731	4665	1708
732	4670	1701
733	4676	1694
734	4681	1687
735	4687	1681
736	4692	1674
737	4697	1667
738	4703	1661
739	4708	1654
740	4714	1647
741	4719	1641
742	4725	1634
743	4730	1627
744	4736	1621
745	4741	1614
746	4747	1607
747	4753	1601
748	4758	1594
749	4764	1588
750	4770	1581
751	4776	1575
752	4781	1568
753	4787	1562
754	4793	1555
755	4798	1548
756	4804	1542
757	4809	1535
758	4815	1528
759	4820	1522
760	4825	1515
761	4831	1508
762	4836	1502
763	4842	1495
764	4847	1489
765	4853	1482
766	4858	1475
767	4864	1469
768	4869	1462
769	4875	1456
770	4880	1449
771	4886	1443
772	4891	1436
773	4897	1430
774	4902	1423
775	4907	1416
776	4913	1410
777	4918	1403
778	4923	1396
779	4928	1390
780	4934	1383
781	4939	1377
782	4948	1371
783	4954	1364
784	4959	1358
785	4965	1351
786	4970	1345
787	4976	1338
788	4981	1332
789	4987	1325
790	4992	1319
791	4998	1312
792	5004	1306
793	5009	1299
794	5015	1293
795	5020	1286
796	5026	1280
797	5031	1273
798	5036	1267
799	5042	1260
800	5048	1254
801	5053	1247
802	5058	1241
803	5064	1234
804	5069	1228
805	5075	1221
806	5081	1215
807	5086	1208
808	5092	1202
809	5098	1195
810	5103	1189
811	5108	1182
812	5114	1176
813	5119	1169
814	5124	1163
815	5130	1156
816	5135	1150
817	5140	1143
818	5145	1137
819	5151	1130
820	5156	1124
821	5162	1117
822	5167	1111
823	5173	1105
824	5179	1098
825	5184	1092
826	5189	1085
827	5194	1079
828	5200	1072
829	5205	1066
830	5210	1059
831	5215	1053
832	5221	1046
833	5226	1040
834	5231	1033
835	5236	1027
836	5241	1020
837	5247	1014
838	5252	1007
839	5258	1001
840	5263	995
841	5268	988
842	5273	982
843	5279	975
844	5284	969
845	5289	962
846	5295	956
847	5300	950
848	5305	943
849	5310	937
850	5315	930
851	5320	924
852	5325	917
853	5330	911
854	5335	904
855	5341	898
856	5345	892
857	5352	885
858	5357	879
859	5362	873
860	5368	866
861	5372	860
862	5378	853
863	5383	847
864	5388	840
865	5393	834
866	5398	828
867	5403	821
868	5408	815
869	5413	808
870	5418	802
871	5424	796
872	5429	789
873	5434	783
874	5439	777
875	5444	770
876	5449	764
877	5454	757
878	5460	751
879	5465	745
880	5471	739
881	5476	732
882	5481	726
883	5486	719
884	5491	713
885	5496	707
886	5501	700
887	5506	694
888	5511	688
889	5516	681
890	5522	675
891	5527	669
892	5532	662
893	5538	656
894	5544	650
895	5550	644
896	5556	638
897	5563	631
898	5570	625
899	5577	619
900	5583	613
901	5590	607
902	5596	601
903	5602	594
904	5609	588
905	5615	582
906	5621	576
907	5626	570
908	5633	563
909	5638	557
910	5644	551
911	5649	545
912	5655	538
913	5660	532
914	5666	526
915	5671	520
916	5677	513
917	5682	507
918	5688	501
919	5693	495
920	5698	488
921	5704	482
922	5710	476
923	5715	470
924	5721	463
925	5726	457
926	5732	451
927	5738	445
928	5743	438
929	5749	432
930	5755	426
931	5761	420
932	5766	414
933	5772	407
934	5778	401
935	5783	395
936	5788	389
937	5793	382
938	5798	376
939	5804	370
940	5809	364
941	5814	358
942	5819	351
943	5824	345
944	5829	339
945	5835	333
946	5840	326
947	5846	320
948	5852	314
949	5857	308
950	5863	302
951	5868	295
952	5874	289
953	5880	283
954	5885	277
955	5890	271
956	5896	264
957	5901	258
958	5907	252
959	5916	246
960	5922	240
961	5928	234
962	5934	228
963	5940	221
964	5947	215
965	5954	209
966	5960	203
967	5966	197
968	5972	191
969	5979	184
970	5985	178
971	5991	172
972	5997	166
973	6003	160
974	6010	154
975	6016	147
976	6022	141
977	6028	135
978	6034	129
979	6040	123
980	6046	117
981	6052	110
982	6058	104
983	6064	98
984	6070	92
985	6076	86
986	6083	80
987	6089	73
988	6095	67
989	6101	61
990	6107	55
991	6113	49
992	6119	43
993	6126	36
994	6132	30
995	6138	24
996	6143	18
997	6149	12
998	6155	6
999	6161	0
2	6453	45
993	6459	38
994	6464	32
995	6470	25
996	6475	19
997	6481	12
998	6486	6
999	6492	0
14	1219
932	16725	1201
933	16734	933	1934	16744	934	1935	16753	935	1936	16763	1127
937	16778	1109
938	16793	1090
939	16810	1073
940	16826	1054
941	16838	1036
942	16852	1018
943	16863	1000
944	16876	982
945	16887	964
946	16895	945
947	16908	927
948	16917	909
949	16933	891
950	16946	873
951	16954	854
952	16962	836
953	16972	818
954	16981	800
955	16991	782
956	17000	763
957	17012	745
958	17023	727
959	17031	709
960	17039	691
961	17050	673
962	17058	655
963	17069	637
964	17081	619
965	17089	601
966	17096	583
967	17103	565
968	17114	547
969	17121	529
970	17128	511
971	17135	493
972	17141	475
973	17148	457
974	17154	439
975	17161	421
976	17167	404
977	17173	386
978	17179	368
979	17185	350
980	17192	332
981	17198	315
982	17204	297
983	17211	279
984	17217	262
985	17223	244
986	17229	226
987	17235	209
988	17241	191
989	17248	174
990	17254	156
991	17261	139
992	17271	121
993	17285	104
994	17294	86
995	17300	69
996	17308	52
997	17314	34
998	17321	17
999	17327	0
	17216	0
